food,Dietary Fiber,Cholesterol
ocean perch raw,0,33.3
cuttlefish cooked,0,63.4
cod cooked,0,99
seatrout raw,0,197.5
flounder raw,0,73.4
spot cooked,0,38.5
walleye pike cooked,0,136.4
perch raw,0,54
pumpkin seed sunfish raw,0,32.2
salt mackerel,0,129.2
mackerel cooked,0,66
tilapia cooked,0,49.6
drum raw,0,126.7
atlantic croaker fried,0.3,73.1
pumpkin seed sunfish cooked,0,31.8
wolffish raw,0,140.8
bluefin tuna cooked,0,73.5
scup cooked,0,33.5
herring cooked,0,110.1
bluefish raw,0,88.5
sheepshead cooked,0,119
bass cooked,0,53.9
pout cooked,0,183.6
chinook salmon raw,0,198
rockfish raw,0,95.5
tilefish raw,0,193
scup raw,0,86.3
sablefish cooked,0,190.3
tuna salad,0,26.7
coho salmon cooked,0,90.1
roe raw,0,52.4
sea bass raw,0,52.9
pink salmon cooked,0,125.4
sockeye salmon cooked,0,189.1
whitefish raw,0,118.8
greenland halibut cooked,0,187.6
northern pike cooked,0,155
salmon raw,0,217.8
turbot cooked,0,197.2
surimi,0,8.5
chinook salmon cooked,0,261.8
mullet cooked,0,58.6
chum salmon raw,0,2.1
butterfish raw,0,20.8
sea bass cooked,0,53.5
greenland halibut raw,0,187.7
halibut raw,0,199.9
sturgeon cooked,0,104.7
fish fillet fried,0.5,30.9
rainbow trout raw,0,46.6
pout raw,0,183
rainbow smelt cooked,0,25.5
monkfish raw,0,7.1
trout raw,0,45.8
shark raw,0,14.4
burbot raw,0,69.6
dolphinfish cooked,0,149.5
crayfish cooked,0,38.8
dolphinfish raw,0,148.9
perch cooked,0,52.9
cusk raw,0,50
bluefin tuna raw,0,10.8
milkfish cooked,0,19
carp raw,0,143.9
sturgeon raw,0,17
orange roughy raw,0,17
catfish fried,0.6,61.8
cuttlefish raw,0,31.7
bass raw,0,53.7
flounder cooked,0,71.1
milkfish raw,0,14.7
eel raw,0,257
catfish raw,0,87.5
fish sticks,0.4,7.8
coho salmon raw,0,81.1
monkfish cooked,0,9.1
yellowtail cooked,0,207.3
yellowfin tuna cooked,0,13.3
ling cooked,0,77
eel cooked,0,45.6
sablefish raw,0,189.1
salmon nuggets,0,7.4
yellowtail raw,0,205.7
butterfish cooked,0,20.8
caviar,0,94.1
pollock raw,0,274.1
catfish cooked,0,94.4
whiting raw,0,61.6
pink salmon raw,0,146.3
yellowfin tuna raw,0,11
mackerel raw,0,78.4
turbot raw,0,195.8
cusk cooked,0,50.4
atlantic croaker raw,0,48.2
sucker cooked,0,65.7
spot raw,0,38.4
drum cooked,0,126.3
crayfish raw,0,4.3
tilefish cooked,0,192
bluefish cooked,0,88.9
grouper cooked,0,94.9
sheepshead raw,0,119
herring kippered,0,32.8
grouper raw,0,95.8
ocean perch cooked,0,31.5
ling raw,0,77.2
lingcod cooked,0,202.3
florida pompano raw,0,56
rockfish cooked,0,90.9
seatrout cooked,0,197.2
sockeye salmon raw,0,209.9
swordfish cooked,0,82.7
american shad raw,0,138
sardine canned in oil,0,211.6
anchovy canned in oil,0,3.4
salmon canned,0,143.9
sardines in tomato sauce canned,0.009,54.3
sockeye salmon canned,0,266.2
tuna canned,0,33.6
pink salmon canned,0,226.1
cod canned,0,171.6
eastern oyster canned,0,89.1
chum salmon canned,0,143.9
tuna canned in oil,0,55.2
wild pink salmon oceans,0,0
shrimp canned,0,322.6
alaska king crab raw,0,72.2
scallops fried,0,18
shrimp cooked,0,11.6
clams fried,0,5.7
alaska king crab cooked,0,71
scallops cooked,0,4.1
squid fried,0,208
oyster raw,0,25
abalone,0,72.3
queen crab raw,0,15.6
whelk cooked,0,36.8
oyster cooked,0,25
eastern oyster cooked,0,3.7
blue mussels cooked,0,112
octopus raw,0,13.6
spiny lobster cooked,0,146.7
blue mussels raw,0,42
queen crab cooked,0,60.4
dungeness crab cooked,0,96.5
dungeness crab raw,0,96.2
shrimp fried,0.1,9.9
shrimp raw,0,6.3
blue crab cooked,0,82.5
shrimp imitation,0,10.2
conch baked,0,82.6
squid raw,0,65.9
scallop raw,0,3.6
lobster raw,0,190.5
scallop imitation,0,6.2
blue crab raw,0,16.4
whelk raw,0,18.4
spiny lobster raw,0,146.3
clams canned,0,80
lobster cooked,0,219
eastern oyster fried,0,10.4
clams raw,0,68.1
octopus cooked,0,81.6
eastern oyster raw,0,3.5
oyster fried,0,18.1
sturgeon smoked,0,22.6
chinook salmon smoked,0,31.3
cisco smoked,0,9.1
haddock smoked,0,21.8
whitefish smoked,0,44.9
red salmon sockeye filets smoked,0,167.4
eggnog,0,149.9
beer light,0,0
beer budweiser,0,0
weizenbier erdinger,0,0
beer light budweiser,0,0
beer,0,0
root beer,0,0
whiskey sour mix,0,0
whiskey sour,0,0
tequila sunrise,0,0
daiquiri,0.001,0
pina colada,0.4,0
whiskey,0,0
rum,0,0
vodka smirnoff,0,0
coffee liqueur,0,0
gin,0,0
dessert wine sweet,0,0
chenin blanc white wine,0,0
gamay red wine,14.4,0
late harvest white wine,13.1,0
gewurztraminer white wine,0,0
burgundy red wine,0,0
zinfandel red wine,0,0
muller thurgau white wine,13.3,0
mouvedre red wine,16.5,0
table wine,0,0
wine light,0,0
white wine,0,0
petite sirah red wine,15.7,0
non alcoholic wine,0,0
pinot noir red wine,0,0
pinot gris grigio white wine,0,0
riesling white wine,0,0
barbera red wine,0,0
lemberger red wine,15,0
merlot red wine,0,0
sangiovese red wine,0,0
sauvignon blanc white wine,0,0
syrah red wine,0,0
carignane red wine,0,0
pinot blanc white wine,0,0
semillon white wine,14.9,0
dessert wine dry,76.5,0
red wine,0,0
cabernet sauvignon red wine,0,0
muscat white wine,0,0
cooking wine,0,0
chardonnay white wine,0,0
claret red wine,15,0
rice sake,0,0
fume blanc white wine,15.4,0
cabarnet franc red wine,0,0
chocolate frosting,0.2,0
white sugar,0,0
egg substitute,0,0
agave syrup,0.01,0
splenda sweetener,0,0
vanilla extract,0,0
egg yolk dried,0,92.3
granulated sugar,0,0
baking chocolate,4.8,0
bakers yeast,1.4,0
fondant,0,0
brown sugar,0,0
white frosting dry,0,0
maple sugar,0,0
fructose sweetener,0,0
saccharin sweetener,0,0
egg white raw,0,0
turbinado sugar,0,0
vanilla frosting,0,0
aspartame sweetener,0,0
egg raw,0,208.3
pineapple topping,1.4,0
egg white dried,0,0
egg yolk raw,0,184.5
baking soda,0,0
egg dried,0,81.5
strawberry topping,0.1,0
bakers yeast dry,1.1,0
almond paste,10.9,0
cream of tartar,0.01,0
popover dry mix,0,0
egg substitute powder,0,161.9
gelatin powder,0,0
tapioca pearls,1.4,0
baking powder,0.03,0
egg boiled,0,223.8
millet flour,4.2,0
triticale flour,19,0
corn flour white,7.3,0
rice flour brown,7.3,0
sorghum flour,8,0
cornmeal whole grain,8.9,0
cornmeal white,6.1,0
barley flour,14.9,0
safflower seed meal,0,0
sesame flour,0,0
whole grain wheat flour,12.8,0
corn flour yellow,8.5,0
corn flour whole grain,8.5,0
cottonseed flour low fat,0,0
sunflower seed flour,0.2,0
sesame meal,0,0
acorn flour,0,0
rice flour white,3.8,0
sesame flour low fat,0,0
potato flour,9.4,0
cornmeal yellow,6.1,0
rye flour,8.2,0
arrowroot flour,4.4,0
chickpea flour,9.9,0
wheat flour,3.4,0
cornstarch,1.2,0
carob flour,2.4,0
buckwheat flour,12,0
pecan pie,0,106.1
apple pie,0,0
vanilla wafer pie crust,0.2,68.6
chocolate pie crust,4.9,0
apple strudel,1.6,4.3
chocolate snack cake,1.6,0
fruit fried pie,3.3,0
pumpkin pie,0,65.1
corn cake,0.2,0
sponge snack cake,0.4,17.2
danish pastry with nuts,1.3,29.9
chocolate cream pie,2,5
angel food cake,0.4,0
lemon meringue pie,0,67.3
danish pastry with cinnamon,0,27.3
cinnamon coffeecake,1.1,18.2
cheesecake,0.3,44
fruitcake,1.6,2.2
egg custard,0,236.9
mince pie,4.3,0
yellow cake with chocolate frosting,2.2,23
danish pastry with fruit,0,18.8
white cake with coconut frosting,1.1,1.1
danish pastry with cheese,0,20
graham cracker pie crust,3.5,0
blueberry pie,0,0
yellow cake with vanilla frosting,0.2,35.2
pie crust,0.4,0
chocolate cake with chocolate frosting,3,30.4
cheese coffeecake,0.8,64.6
vanilla cream pie,0.8,78.1
pineapple cake,0.9,25.3
peach pie,0.9,0
fruit coffeecake,1.3,3.5
pound cake,0.2,66.3
pound cake bread,0.9,0
white cake,0.6,1.5
coffeecake with chocolate frosting,1.8,62.1
popcorn cake,0.3,0
banana cream pie,8.3,604.9
baked apple pie mcdonalds,0.6,0
sponge cake,0,107.1
yellow cake,0.5,36.7
shortcake,0,0.8
cherry pie,0,0
dutch apple pie,2.2,0
chocolate cake,1.5,55.1
marshmallow,0.013,0
sugar apple,3.4,0
toffee,0,12.5
