food,Water
turbinado sugar,0.082
vanilla frosting,69.6
aspartame sweetener,8.8
egg raw,42.6
pineapple topping,112.2
egg white dried,0.6
egg yolk raw,8.9
baking soda,0.018
egg dried,0.2
strawberry topping,6.9
bakers yeast dry,0.2
almond paste,32
cream of tartar,0.032
popover dry mix,19.9
egg substitute powder,1.1
gelatin powder,0.7
tapioca pearls,16.7
baking powder,0.2
egg boiled,44.8
millet flour,12.8
triticale flour,13
corn flour white,11.2
rice flour brown,18.9
sorghum flour,12.2
cornmeal whole grain,12.5
cornmeal white,17.6
barley flour,17.9
safflower seed meal,1.8
sesame flour,1.1
whole grain wheat flour,12.9
corn flour yellow,12.8
corn flour whole grain,12.8
cottonseed flour low fat,2
sunflower seed flour,0.3
sesame meal,1.4
acorn flour,7.5
rice flour white,18.8
sesame flour low fat,2
potato flour,10.4
cornmeal yellow,17.6
rye flour,11.6
arrowroot flour,14.6
chickpea flour,9.5
wheat flour,14.9
cornstarch,10.6
carob flour,0.2
buckwheat flour,13.4
pecan pie,23.8
apple pie,59.1
vanilla wafer pie crust,15
chocolate pie crust,9.1
apple strudel,30.9
chocolate snack cake,9.3
fruit fried pie,48.1
pumpkin pie,90.7
corn cake,0.4
sponge snack cake,8.2
danish pastry with nuts,13.3
chocolate cream pie,43.1
angel food cake,9.3
lemon meringue pie,55
danish pastry with cinnamon,18.4
cinnamon coffeecake,12.5
cheesecake,36.5
fruitcake,10.9
egg custard,222.4
mince pie,61.7
yellow cake with chocolate frosting,32.2
danish pastry with fruit,27.3
white cake with coconut frosting,23.2
danish pastry with cheese,30.8
graham cracker pie crust,8
blueberry pie,75.3
yellow cake with vanilla frosting,14.1
pie crust,2.3
chocolate cake with chocolate frosting,30.4
cheese coffeecake,24.5
vanilla cream pie,59.2
pineapple cake,37.1
peach pie,63.6
fruit coffeecake,15.9
pound cake,7.4
pound cake bread,12.3
white cake,17.2
coffeecake with chocolate frosting,26.2
popcorn cake,0.5
banana cream pie,568.1
baked apple pie mcdonalds,10.5
sponge cake,18.5
yellow cake,17.1
shortcake,8
cherry pie,82.4
dutch apple pie,56.3
chocolate cake,23.2
marshmallow,3.3
sugar apple,56.4
toffee,0.04
vanilla fudge with nuts,2.3
peanuts chocolate coated,0.008
caramel with nuts chocolate coated,0.9
gingerbread,20.7
rolo nestle,0
vanilla fudge,3.1
halavah,2.6
praline,4
fruit juice bar,60.3
peanut brittle,0.2
butterscotch,0.3
chocolate coffee beans,0.7
nougat with almonds,0.3
carob,0.4
peanut butter fudge,1.7
sugar coated almonds,0.094
chocolate coated marshmallow,2.8
raisins chocolate coated,11.2
chewing gum sugarless,0.067
chewing gum,0.067
chocolate syrup,12.1
chocolate fudge syrup,4.1
m ms milk chocolate mars,0.7
milk chocolate with almonds,0.6
chocolate fudge,1.7
milk chocolate with rice cereal,0
m ms peanut chocolate mars,0.4
dark chocolate,0.3
chocolate semisweet,1.2
after eight mints nestle,0.5
