food,Nutrition Density
plantain fried,3.85
carambola starfruit,9.403
chayote cooked,47.5
apple dippers mcdonalds,238.864
white grapefruit,131.2
cherimoya,54.8
melon balls,45.3
golden delicious apple,18.014
pokeberry shoots raw,13.9
cranberries,7.473
quince,16.436
chayote raw,9.855
orange with peel,259.9
chokecherries,191.9
mango,60.641
wild plum,80.6
jeijoa,176.8
groundcherries,48.8
pesca,0.1
persimmon,32.6
grapes,1.83
rambutan canned,106.7
figs canned,12.491
prunes canned,123.9
pineapples canned,19.255
prune plums canned,13.728
tangerines canned,140.389
fruit cocktail canned,57.508
sour cherries canned,86.3
mangosteen canned,70.3
apricot juice,35.804
strawberries canned,180.9
peach canned,58.587
fruit salad canned,72.531
gooseberries canned,121.7
grapefruit canned,115.7
pear canned,19.566
raspberries canned,122.2
papaya canned,32.371
grapes canned,57.6
apple dried,56.1
peach dried,97.5
plantain chips,40
golden raisins,240
raisins seeded,205.2
zante currants dried,258.1
pear dried,44.2
raisins,26.474
prune plums dried,155.5
cranberries dried,120.036
figs dried,20.461
longans dried,2.804
banana chips,36.2
lychee dried,7.431
apricot dried,9.329
longan,3.493
mamey sapote,142.2
waxgourd cooked,57.8
jackfruit,9.574
loquats,6.236
mammy apple mamey,357
nance,29.436
coconut whole coconut,71.5
prickly pear,14.977
lychee,2.012
naranjilla lulo pulp,23
coconut meat dried,40.2
waxgourd raw,51.4
surinam cherry pitanga,3.056
passion fruit,6.667
sapodilla,107.6
pummelo,14.376
coconut meat,320.7
soursop,127.6
papaya,19.422
acerola cherry,0.707
ohelo berries,28.7
loganberries,91.2
casaba melon,71.2
durian,13.358
coriander leaves raw,16.674
garden cress raw,0.886
pasilla peppers dried,15.4
parsley dried,6.95
ancho pepper dried,28.4
coriander seeds,15.8
dill weed dried,96
borage,121.8
epazote,0.363
chives dried,0.32
thyme fresh,0.545
butterbur,58.6
wasabi root,269.9
rosemary dried,18.079
ginger root,1.028
white pepper,2.514
cloves ground,16.019
paprika,8.206
mace ground,21.1
bay leaf,6.316
eppaw,38.5
tarragon dried,7.752
ginger ground,4.327
savory ground,1.895
black pepper,2.505
spearmint fresh,1.261
poultry seasoning,50
nutmeg ground,6.656
curry powder,7.681
peppermint,0.423
salt,4.329
coriander leaves dried,0.633
sage ground,12.796
garlic powder,3.269
dill weed fresh,1.201
cardamom,10.7
saffron,0.682
allspice ground,15.5
parsley fresh,0.509
oregano dried,126.9
marjoram dried,2.032
chives raw,0.417
fireweed leaves,108.3
rosemary fresh,0.369
garlic,1.253
cinnamon ground,30
chervil dried,28.777
cayenne pepper,0.988
turmeric ground,7.8
mustard,1.046
chili powder,3.182
thyme dried,120.6
spearmint dried,0.649
basil dried,1
dandelion greens cooked,180.2
basil fresh,0.752
dock,12.2
garden cress cooked,124
onion powder,12.389
dandelion greens raw,132.8
yokan,9.059
fava beans cooked,56.778
french beans raw,559.7
chickpeas canned,198.7
yellow beans cooked,81.7
mung beans cooked,69.586
white beans canned,287
pink beans cooked,73.103
pink beans raw,495.1
navy beans raw,543.9
snap beans cooked,16.848
black eyed cowpeas raw,227.3
edamame cooked,49.248
black eyed cowpeas cooked,47.9
hyacinth beans cooked,191.981
cowpeas canned,110.1
pinto beans cooked,77.502
winged beans cooked,305.6
pinto beans raw,434.4
black turtle beans raw,496.1
fava beans raw,333.1
lima beans canned,114.8
hyacinth beans raw,518.8
white beans raw,707.2
snap beans canned,150.2
navy beans canned,217.5
mung beans raw,512.2
adzuki beans raw,328.8
black turtle beans cooked,76.721
pink lentils raw,282.9
yellow beans raw,555.5
white beans cooked,74.959
lentils raw,355.9
cranberry beans cooked,78.8
chickpeas raw,437.3
lentils cooked,75.118
baked beans canned,166.5
cranberry beans canned,165.3
black beans cooked,121.9
lima beans cooked,68.6
mungo beans raw,517
pigeon peas raw,484.3
fava beans canned,129.7
yellow snap beans raw,66.7
snap beans raw,61.9
yellow snap beans canned,82.1
pigeon peas cooked,136.5
catjang cowpeas raw,321.9
navy beans cooked,212.5
mothbeans raw,491.9
cowpeas cooked,25.166
mothbeans cooked,64.6
french beans cooked,73.3
lima beans raw,343.6
winged beans raw,1032
adzuki beans cooked,92.2
black beans raw,444.1
