food,Sodium,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
tomato sauce with herbs cheese,1.3,90.3,0.4,2.1,46.4,0.5,131.8,868.6,0.029,0.9
french dressing,0.1,3.8,0,0.1,0.8,0.097,3,10.7,0,0.084
mayonnaise hellmanns,0,0,0,0,0,0,0,0,0,0
canadian maple syrup,0.086,30.8,0,0.088,5.9,0.7,0,63.7,0,0.2
maple syrup,0.059,20.4,0.093,0.014,4.2,0.6,0.4,42.4,0.008,0.3
barbecue sauce bulls eye,0.2,6.9,0.075,0.1,2.6,0.071,3.5,42.1,0,0.041
ranch dressing,0.1,0.024,4.2,0.085,0.05,0.8,0.092,27.9,9.6,0.017
tomato ketchup mp,0,0,0,0,0,0,0,0,0,0
mayonnaise light,0.1,0.05,0.9,0.039,0.058,0.3,0.056,2.3,4.7,0.061
mayonnaise dressing,0.081,1.1,0,0,0.2,0,3.8,2.1,0.082,0.1
malt syrup,0.05,12.8,0.093,0.2,15.1,0.033,49.6,67.2,0.098,0.048
gravy dry,1.4,37.5,0.038,0.3,11.3,0.1,50.8,65.5,0.091,0.4
cranberry orange relish,0.063,30.3,0.1,0.6,11,0,22,104.5,0,0
caesar dressing,0.2,7.1,0.042,0.2,0.3,0.043,2.8,4.3,0.073,0.018
italian dressing,0.1,0.059,1.9,0.063,0.081,0.7,0.099,2.2,12.3,0.055
brown gravy instant,0.3,7.8,0.089,0.5,2.1,0.084,14.2,24.6,0.06,0.087
roquefort cheese dressing,0.1,13.4,0.094,0.069,1.1,0,12.5,0.8,0.03,0.09
blue cheese dressing,0.2,5.6,0.011,0.058,1.2,0.068,11.1,13.2,0.038,0.055
duck sauce,0.1,3.6,0.033,0.1,1.6,0.1,2.9,28.3,0.029,0.1
au jus,1.1,9.4,0.2,1.4,4.7,0.5,70.8,191.2,0.02,2.4
corn syrup dark,0.047,3.6,0.089,0.044,1.6,0.079,2.2,8.8,0.078,0.069
buttermilk dressing light,0.2,6,0.041,0.1,0.9,0.01,29,19.8,0.098,0.002
cider vinegar,0.011,1,0.094,0.052,0.7,0.006,1.2,10.9,0.018,0.059
tartar sauce,0.1,3.9,0.001,0.047,0.9,0.03,2.6,10.2,0.05,0.098
pepper hot sauce,0.1,0.4,0.085,0.035,0.2,0.016,0.5,6.8,0,0.055
tomato chili sauce,0.083,1.2,0.017,0.087,0.7,0,3.1,22.2,0.052,0.082
turkey gravy dry,0.3,10.2,0.053,0.2,3.1,0.003,17.8,30,0.073,0.01
salsa sauce,0.1,5.4,0.009,0.007,2.7,0.042,5.9,49.5,0.005,0.08
steak sauce,0.3,3.2,0.087,0.2,2.9,0.084,5.6,53,0.085,0.02
molasses,0.007,41,0.093,0.9,48.4,0.3,6.2,292.8,0.056,0.08
italian dressing fat free,0.2,4.2,0.046,0.036,0.7,0.069,15.3,14.3,0.096,0.059
plum sauce,0.1,2.3,0.044,0.3,2.3,0.046,4.2,49.2,0.1,0.029
chow mein stir fry master foods,0,0,0,0,0,0,0,0,0,0
beef gravy instant,0.3,9.4,0.067,0.4,2.7,0.091,16,30.2,0.049,0.082
horseradish,0.039,0.027,2.8,0.052,0.04,1.4,0.062,1.6,12.3,0.016
grenadine,0.038,1.2,0.044,0.011,0.8,0,0.8,5.6,0.051,0.066
tabasco sauce,0.075,0.6,0.017,0.019,0.6,0.038,1.1,6,0.063,0.089
sweet sour sauce,0.024,1.8,0.011,0.021,1.4,0.1,1.2,17.3,0.006,0.072
salsa verde,0.034,1.4,0.075,0.079,2.9,0.076,6.2,38.9,0.086,0.067
miso,0.7,0.094,11.4,0.046,0.5,9.6,0.2,31.8,42,0.092
sprouted soybean cooked,0.2,55.5,0.3,1.2,56.4,0.7,126.9,333.7,0.042,1
soy flour roasted,0.083,159.8,1.9,4.9,313.7,1.8,404.6,1734.9,0.029,3
soy flour low fat,0.085,250.8,1.4,7.2,250.8,2.8,594,1839.2,0.055,3.6
green soybean cooked,0.2,0,130.5,0.1,2.3,54,0.5,142.2,485.1,0
azumaya tofu vitasoy,0.03,711,0,5.1,0,0,0,0,0,0
soy proteins isolate,0.3,50.4,0.5,4.1,11,0.4,219.6,22.9,0.011,1.1
tofu yogurt,0.03,0.013,309.2,0.2,2.8,104.8,0,99.6,123.1,0.068
bacon meatless,2.1,33.1,0.2,3.5,27.4,0.3,100.8,244.8,0.004,0.6
meatless chicken fried,0.5,54.6,0.7,5,15.6,0,318.5,390,0.037,0.8
soymilk,0.1,0,340.2,0.3,1.2,0,0,0,342.6,0.099
soy vermicelli,0.032,77,2.7,2.5,2.8,0,28,4.2,0.017,5.9
tofu fried,0.021,0.099,48.4,0.051,0.6,7.8,0.2,37.3,19,0.038
tempeh,0.068,184.3,0.9,4.5,134.5,2.2,441.6,683.9,0,1.9
koyadofu,0.081,0,61.9,0.2,1.7,10,0.6,82.1,3.4,0.04
meatless meatloaf,0.3,16.2,0.4,1.2,10.1,0,192.6,100.8,0.02,1
soya vanille joghurt alpro,0,0,0,0,0,0,0,0,0,0
soybean curd cheese,0.094,423,0.9,12.6,513,2,499.5,447.8,0.068,3.9
soy sauce,0.9,0,5.3,0.031,0.2,11.8,0.2,26.6,69.6,0.087
soybean dry roasted,0.077,130.2,1,3.7,212,2,603.6,1268.5,0.028,4.4
soybean oil,0,0,0,0.048,0,0,0,0,0,0.095
meatless chicken,1.2,58.8,1.2,5.5,28.6,2,562.8,90.7,0.012,1.2
soybean cooked,0.075,0.099,175.4,0.7,8.8,147.9,1.4,421.4,885.8,0.064
soymilk nonfat,0.1,281.9,0.3,0.9,24.3,0,211.4,255.2,0.046,0.2
soy flour,0.023,0.061,10.7,0.2,0.3,22.3,0.1,25.7,130.8,0.086
soybean lecithin oil,0,0,0,0,0,0,0,0,0,0
tofu raw,0.06,868,0.5,13.3,74.4,1.5,240.6,300.1,0.005,2
soy chips,0.2,48.4,0.7,1.5,48.1,0.6,2,2,0.099,0.4
green soybean raw,0.017,504.3,0.3,9.1,166.4,1.4,496.6,1587.2,0.081,2.5
soy proteins concentrate,0.3,102.7,0.3,3.1,39.6,1.2,237.4,127.4,0.019,1.2
soybean margarine,0.005,1.4,0,0,0.1,0,1.1,2,0,0
chocolate soymilk nonfat,0.1,281.9,0.5,0.9,24.3,0,211.4,255.2,0.027,0.2
okara,0.07,0,97.6,0.2,1.6,31.7,0.5,73.2,259.9,0.048
meatless meatballs,0.8,36,1,3.1,25.9,0,495.4,259.2,0.016,2.6
vanilla soymilk,0.1,60.8,0.3,1.6,60.8,0.5,126.4,286.7,0.08,0.3
soy meal raw,0.017,297.7,2.4,16.7,373.3,4.6,855.2,3037.8,0.018,6.2
soymilk low fat,0.04,199.3,0,1.1,0,0,150.7,155.5,0,0
sprouted soybean raw,0.005,0,46.9,0.3,1.5,50.4,0.5,114.8,338.8,0.045
soybean raw,0.023,515.2,3.1,29.2,520.8,4.7,1309.4,3342.4,0.071,9.1
tempeh cooked,0.084,27.2,0.2,0.6,21.8,0.4,71.6,113.5,0,0.4
vanilla soymilk light,0.2,298.9,0,1.1,31.6,0,250.3,284.3,0,0.2
chocolate soymilk,0.1,0.074,306.2,0.5,1.2,36.5,0,123.9,347.5,0.023
soy oil,0,0,0,0,0,0,0,0,0,0
natto,0.026,0.085,173.6,0.5,6.9,92,1.2,139.2,583.2,0.033
chrysanthemum raw,0.012,0.2,59.7,0.044,1.2,16.3,0.5,27.5,289.2,0
gourd cooked,0.065,0.03,16,0.2,0.6,35.6,0.4,55.2,806.3,0.021
cauliflower raw,0.042,0.033,2.9,0.01,0.077,2,0.003,5.7,38.9,0.05
red cabbage raw,0.079,76.5,0.004,1.4,27.2,0.4,51,413.1,0.039,0.4
broccoli raab raw,0.04,0.074,43.2,0.022,0.9,8.8,0.2,29.2,78.4,0.072
napa cabbage cooked,0.012,31.6,0.1,0.8,8.7,0.2,20.7,94.8,0.025,0.2
kelp,0.019,8.4,0.021,0.1,6.1,0.017,2.1,4.5,0.07,0.038
shallots raw,0.044,0.007,9.3,0.004,0.3,5.3,0.046,15,83.5,0.091
bamboo shoots raw,0.067,0,23.4,0.3,0.9,5.4,0.5,106.2,959.4,0.001
jute cooked,0.043,183.6,0.2,2.7,53.9,0.1,62.6,478.5,0.052,0.7
red lettuce,0.057,0.021,9.2,0.093,0.3,3.4,0.095,7.8,52.4,0.044
broccoli cooked,0.1,0.4,112,0.2,1.9,58.8,0.5,187.6,820.4,0.008
romanesco raw,0.025,21.1,0.051,0.5,12.8,0.2,39.7,192,0.087,0.4
eggplant raw,0.028,41.2,0.4,1.1,64.1,1.1,109.9,1048.8,0.074,0.7
leeks raw,0.003,0.011,52.5,0.1,1.9,24.9,0.4,31.2,160.2,0.03
lemongrass citronella,0.024,3.1,0.082,0.4,2.9,0.3,4.8,34.7,0.031,0.1
pumpkin cooked,0.006,0.098,36.8,0.2,1.4,22.1,0.2,73.5,563.5,0.054
celery cooked,0.093,15.8,0.08,0.2,4.5,0.025,9.4,106.5,0.086,0.098
serrano pepper,0.067,0.021,0.7,0.063,0.083,1.3,0.058,2.4,18.6,0.047
nopales raw,0.076,141,0.06,0.5,44.7,0.4,13.8,221,0.099,0.2
sweet potato leaves cooked,0.2,21.1,0.008,0.4,30.7,0.1,25.6,199.7,0.083,0.2
eggplant cooked,0.2,5.9,0.042,0.2,10.9,0.1,14.9,121.8,0,0.1
asparagus cooked,0,0.099,3.5,0.031,0.1,2.1,0.063,8.1,33.6,0.049
rutabaga cooked,0.049,43.2,0.052,0.4,24,0.2,98.4,518.4,0.022,0.3
parsnips raw,0.068,0.055,61.2,0.2,1,49.3,1,120.7,637.5,0.094
sour pickles,1.9,0,0.1,0.6,6.2,0.036,21.7,35.7,0,0.079
turnip greens cooked,0.4,197.3,0.4,1.2,31.7,0.5,41.8,292.3,0.013,0.2
jerusalem artichokes,0.011,21,0.2,5.1,25.5,0.014,117,643.5,0.083,0.2
collard raw,0.014,0.2,83.5,0.004,0.2,9.7,0.2,9,76.7,0.041
chrysanthemum cooked,0.042,0.1,69,0.1,3.7,18,0.4,43,569,0.001
oriental radish dried,0.3,729.6,1.9,7.8,197.2,0.6,236.6,4053,0.091,2.5
tomatillos,0.019,9.2,0.1,0.8,26.4,0.2,51.5,353.8,0.055,0.3
taro shoots raw,0.056,10.3,0.099,0.5,6.9,0.1,24.1,285.5,0.002,0.4
acorn squash raw,0.017,142.2,0.3,3,137.9,0.7,155.2,1495.6,0.077,0.6
leeks dried,0.077,11.5,0.047,0.2,5.2,0.014,11.1,76.8,0.092,0.096
cabbage raw,0.006,0.2,112,0.083,1.3,33.6,0.4,72.8,476,0.057
sweet red peppers cooked,0.2,6.6,0.069,0.3,7.3,0.023,13.1,121.2,0.059,0.055
sweet red peppers raw,0.092,10.4,0.037,0.6,17.9,0.2,38.7,314.4,0.081,0.4
cucumber peeled,0.098,0.052,18.6,0.018,0.3,16,0.058,27.9,180.9,0.027
purslane raw,0.066,28,0.08,0.9,29.2,0.1,18.9,212.4,0.03,0.063
peas onions cooked,0.5,25.2,0.1,1.7,23.4,0.3,61.2,210.6,0.042,0.5
tomato cooked,0.029,0.054,13.5,0.052,0.8,11.1,0.1,34.4,268.1,0
taro shoots cooked,0.3,19.6,0.1,0.6,11.2,0.2,36.4,481.6,0.083,0.8
scots kale raw,0.059,137.4,0.2,2,59,0.4,41.5,301.5,0.011,0.2
artichoke raw,0.1,0.045,56.3,0.3,1.6,76.8,0.3,115.2,473.6,0.056
navy bean sprouts raw,0.063,15.6,0.4,2,105,0.4,104,319.3,0.001,0.9
sweet pickles,0.7,97.6,0.021,0.4,11.2,0.1,28.8,160,0,0.2
oriental radish cooked,0.4,25,0.1,0.2,13.2,0.041,35.3,419,0.019,0.2
sweet potato leaves raw,0.073,27.3,0,0.3,24.5,0,28.4,177.8,0.068,0
irishmoss,0.084,3.6,0.055,0.4,7.2,0.029,7.9,3.2,0.098,0.052
drumstick leaves cooked,0.1,63.4,0.004,1,63.4,0.4,28.1,144.5,0.042,0.2
winter squash raw,0.027,32.5,0.051,0.7,16.2,0.2,26.7,406,0.049,0.2
pumpkin raw,0.062,24.4,0.1,0.9,13.9,0.1,51,394.4,0.093,0.4
chicory greens,0.017,0.079,29,0.081,0.3,8.7,0.1,13.6,121.8,0.015
spinach cooked,0.1,0.9,244.8,0.3,6.4,156.6,1.7,100.8,838.8,0.029
radish pickled,1.2,42,0.3,0.3,12,0.072,46.5,499.5,0.054,0.3
sweet onion,0.063,0.033,66.2,0.2,0.9,29.8,0.3,89.4,393.9,0.067
salsify cooked,0.028,63.5,0.05,0.7,24.3,0.3,75.6,382.1,0.002,0.4
radish seeds sprouted,0.067,19.4,0.07,0.3,16.7,0.082,42.9,32.7,0.073,0.2
turnips raw,0.1,0.057,54.9,0.2,0.5,20.1,0.2,49.4,349.5,0.055
burdock root raw,0.008,48.4,0.073,0.9,44.8,0.3,60.2,363.4,0.097,0.4
red cabbage cooked,0.047,0.049,71.4,0.032,1.1,28.9,0.4,56.1,445.4,0.068
jute raw,0.042,0,58.2,0.049,1.3,17.9,0.009,23.2,156.5,0.009
hot chile pepper dried,0.041,0.2,0.016,0.062,0.4,0.076,0.8,9.4,0.043,0.059
salsify raw,0.093,0,79.8,0.1,0.9,30.6,0.4,99.8,505.4,0.06
crookneck squash raw,0.047,26.7,0.1,0.6,25.4,0.2,40.6,281.9,0.094,0.4
indian squash cooked,0,0,0,0,0,0,0,0,0,0
poi,0.091,0.022,38.4,0.4,2.1,57.6,0.9,93.6,439.2,0.098
sesbania flower cooked,0.3,22.9,0,0.6,12.5,0,21.8,111.3,0.025,0
acorn squash cooked,0.5,90.2,0.2,1.9,88.2,0.5,92.3,895.9,0.07,0.3
cauliflower cooked,0.094,0.068,19.8,0.041,0.4,11.2,0.2,39.7,176.1,0.059
crookneck squash cooked,0.4,39.6,0.1,0.7,28.8,0.3,52.2,318.6,0.059,0.4
laver seaweed,0.075,1.8,0.073,0.087,0.049,0.021,1.5,9.3,0.08,0.09
mountain yam cooked,0.4,11.6,0.2,0.6,14.5,0.4,58,717.8,0.026,0.5
pumpkin flowers raw,0.066,12.9,0,0.2,7.9,0,16.2,57.1,0.075,0
mustard greens raw,0.004,64.4,0.018,0.9,17.9,0,32.5,215,0.076,0.1
arrowhead,0.082,1.2,0.066,0.3,6.1,0.072,20.9,110.6,0.09,0.094
japanese cabbage,0.4,72,0.037,0.7,18,0.4,64.5,1279.5,0.008,0.3
mung bean sprouts cooked,0.3,14.9,0.2,0.8,17.4,0.2,34.7,125.2,0,0.6
scallop squash cooked,0.4,27,0.1,0.6,34.2,0.2,50.4,252,0.055,0.4
pumpkin leaves cooked,0.2,30.5,0.029,2.3,27,0.3,56.1,311,0.083,0.1
hungarian pepper,0.028,3.2,0.017,0.1,4.3,0.007,7.8,54.5,0.058,0.047
sweet potato baked,0.07,43.3,0.2,0.8,30.8,0.6,61.6,541.5,0.03,0.4
chinese cabbage pe tsai raw,0.049,58.5,0.074,0.2,9.9,0.1,22,180.9,0.03,0.2
taro raw,0.054,44.7,0.2,0.6,34.3,0.4,87.4,614.6,0.097,0.2
yam bean jicama,0.047,15.6,0.061,0.8,15.6,0.012,23.4,195,0.045,0.2
olives,0.001,7.4,0.068,0.5,0.3,0.089,0.3,0.7,0.01,0.085
mustard greens cooked,0.4,165.2,0.1,1.2,18.2,0,58.8,226.8,0.059,0.2
pumpkin flowers cooked,0.082,49.6,0.1,1.2,33.5,0,45.6,142,0.007,0.1
tree fern cooked,0.3,11.4,0.3,0.2,7.1,0.8,5.7,7.1,0.085,0.4
yellow corn raw,0.06,11.6,0.5,4.5,210.8,0.8,348.6,476.4,0.032,3.7
endive,0.08,26,0.002,0.4,7.5,0.2,14,157,0.085,0.4
wakame,0.7,120,0.2,1.7,85.6,1.1,64,40,0.035,0.3
tahitian taro raw,0.003,161.3,0.061,1.6,58.8,0.2,56.3,757.5,0.044,0.1
broccoli raw,0.049,0.092,42.8,0.016,0.7,19.1,0.2,60.1,287.6,0.036
sweet green peppers raw,0.023,14.9,0.035,0.5,14.9,0.2,29.8,260.8,0,0.2
chinese cabbage pak choi cooked,0.5,158.1,0.088,1.8,18.7,0.2,49.3,630.7,0.055,0.3
agar,0.049,0.075,2.7,0.002,0.046,3.4,0.027,0.3,11.3,0.1
watercress,0.038,0.069,40.8,0.063,0.056,7.1,0.048,20.4,112.2,0.095
beet greens cooked,0.3,164.2,0.4,2.7,97.9,0.7,59,1309,0.097,0.7
winter squash cooked,0.068,45.1,0.2,0.9,26.7,0.4,39,494.1,0.086,0.5
new zealand spinach raw,0.017,32.5,0.07,0.4,21.8,0.4,15.7,72.8,0.006,0.2
okra,0.098,9.8,0.038,0.082,6.8,0.031,7.3,35.6,0.066,0.04
yautia tannier,0.031,12.2,0.3,1.3,32.4,0.3,68.9,807.3,0.001,0.7
mustard spinach cooked,0.5,284.4,0.05,1.4,12.6,0.5,32.4,513,0.018,0.2
rhubarb cooked,0.007,0.081,348,0.024,0.5,28.8,0.2,19.2,230.4,0.057
beets raw,0.1,0.079,21.8,0.1,1.1,31.3,0.4,54.4,442,0.096
drumstick pods raw,0.077,30,0.062,0.4,45,0.3,50,461,0.073,0.5
baby zucchini,0.041,2.3,0.019,0.098,3.6,0.035,10.2,50.5,0.057,0.084
onion raw,0.065,0.08,9.2,0.011,0.014,4,0.072,11.6,58.4,0.092
romanesco cooked,0.3,39,0.081,0.9,23.2,0.3,69.5,339.2,0.067,0.8
butternut squash raw,0.067,0.075,96,0.1,1.4,68,0.4,66,704,0.024
amaranth leaves,0.071,60.2,0.052,0.6,15.4,0.2,14,171.1,0.058,0.3
turnip greens raw,0.012,104.5,0.2,0.6,17.1,0.3,23.1,162.8,0.026,0.1
spaghetti squash raw,0.081,23.2,0.077,0.3,12.1,0.1,12.1,109.1,0.091,0.2
seaweed dry,0.9,59.8,0.021,13.3,138.4,1.2,52,588.8,0,0.5
yam cooked,0.017,0.083,19,0.2,0.7,24.5,0.5,66.6,911.2,0.006
corn dried,0.029,7.1,0.014,0.7,42.2,0.3,97.4,219.3,0.053,0.9
cucumber,0.061,24,0.065,0.4,19.5,0.1,36,220.5,0.082,0.3
arrowroot,0.052,7.2,0.1,2.7,30,0.2,117.6,544.8,0.061,0.8
cardoon raw,0.3,0,124.6,0.4,1.2,74.8,0.5,40.9,712,0.058
bamboo shoots cooked,0.04,0,14.4,0.083,0.3,3.6,0.1,24,639.6,0.046
summer squash raw,0.051,0.009,39,0.1,0.9,44.2,0.5,98.8,681.2,0.096
sweet potato raw,0.079,0.048,39,0.2,0.8,32.5,0.3,61.1,438.1,0.044
green tomato,0.055,23.7,0.2,0.9,18.2,0.2,51,371.3,0.051,0.1
beet greens raw,0.013,44.5,0.092,1,26.6,0.1,15.6,289.6,0.039,0.1
savoy cabbage cooked,0.05,0,51,0.089,0.6,40.8,0.3,56.1,312.8,0.077
witloof chicory,0.022,10.1,0.083,0.1,5.3,0.063,13.8,111.8,0.035,0.079
turnips cooked,0.017,0.063,34.3,0.025,0.3,12.5,0.2,29.6,210.6,0.017
dried tomatoes,0.069,2.2,0.082,0.2,3.9,0.065,7.1,68.5,0.061,0.085
radicchio,0.033,12.4,0.2,0.4,8.5,0.087,26,196.3,0.042,0.4
mixed vegetables cooked,0.089,0.083,45.5,0.2,1.5,40,0.7,92.8,307.6,0.022
yellow tomato,0.088,0,23.3,0.2,1,25.4,0.3,76.3,547,0.071
cardoon cooked,0.2,86.4,0.011,0.9,51.6,0.2,27.6,470.4,0.088,0.2
spinach raw,0.036,29.7,0.042,0.8,23.7,0.3,14.7,167.4,0.078,0.2
kale raw,0.045,53.3,0.3,0.3,6.9,0.1,11.6,73.1,0.078,0.082
drumstick pods cooked,0.3,23.6,0.028,0.5,49.6,0.3,57.8,539.3,0.028,0.5
kohlrabi raw,0.063,0.069,63.6,0.3,1.1,50.4,0.4,121.9,927.5,0.015
lentil sprouts,0.044,19.3,0.3,2.5,28.5,0.4,133.2,247.9,0.089,1.2
carrots raw,0.024,0.028,20.1,0.022,0.2,7.3,0.004,21.4,195.2,0.012
red chili peppers,0.03,6.3,0.042,0.5,10.4,0.071,19.4,144.9,0.014,0.1
fennel,0.1,0.1,114.7,0.2,1.7,39.8,0.4,117,968.8,0.025
sweet corn white,0.016,0.084,1.5,0.049,0.4,27,0.1,65,197.1,0.094
celeriac raw,0.2,0.081,67.1,0.1,1.1,31.2,0.2,179.4,468,0.093
hubbard squash raw,0.094,0.086,16.2,0.033,0.5,22,0.2,24.4,371.2,0.02
brussels sprouts cooked,0.051,7.6,0.074,0.3,4.2,0.017,11.8,66.6,0.055,0.067
carrots cooked,0.025,13.8,0.036,0.2,4.6,0.084,13.8,108.1,0.021,0.073
lambs quarters raw,0.033,3.3,0.045,0.06,1.5,0.076,0.6,11.4,0.052,0.08
lotus root cooked,0,2.3,0.032,0.059,2,0.042,6.9,32.3,0.029,0.097
split peas raw,0.075,108.4,1.7,8.7,226.6,2.7,721,1932.6,0.037,5.9
scots kale cooked,0.4,171.6,0.2,2.5,74.1,0.5,49.4,356.2,0.037,0.3
corn cooked,0.039,0.055,3.1,0.025,0.5,26.8,0.2,79.3,224.5,0.084
radish raw,0.033,0.002,1.1,0.052,0.026,0.5,0.084,0.9,10.5,0.013
stinging nettles,0.09,428.1,0.012,1.5,50.7,0.7,63.2,297.3,0.045,0.3
baby carrots,0.097,4.8,0.089,0.1,1.5,0.001,4.2,35.6,0.081,0.025
sweet yellow peppers,0.017,20.5,0.2,0.9,22.3,0.2,44.6,394.3,0.047,0.3
taro leaves raw,0.083,30,0.079,0.6,12.6,0.2,16.8,181.4,0.064,0.1
corn raw,0.083,0.054,2.9,0.076,0.7,52.9,0.2,127.3,386.1,0.022
roselle,0.079,122.6,0,0.8,29.1,0,21.1,118.6,0,0
drumstick leaves raw,0.071,38.9,0.074,0.8,30.9,0.2,23.5,70.8,0.084,0.1
scallop squash raw,0.075,24.7,0.1,0.5,29.9,0.2,46.8,236.6,0.017,0.4
chicory roots,0.055,0,36.9,0.051,0.7,19.8,0.2,54.9,261,0.076
brussels sprouts raw,0.049,8,0.077,0.3,4.4,0.019,13.1,73.9,0.06,0.059
kale cooked,0.018,0.5,177,0.2,1,29.5,0.5,49.6,169.9,0.082
pupusas con frijoles,0.4,64.3,0.2,1.8,68,0.4,181.4,384.3,0.07,1.2
mustard cabbage,0.9,0.1,85.8,0.077,0.9,19.2,0.3,34.6,314.9,0.024
gourd raw,0.03,0.047,19,0.016,0.3,13.3,0.029,30.4,132.1,0.032
butternut squash cooked,0.002,82,0.1,1.2,58,0.3,54,568,0.065,0.3
burdock root cooked,0.4,81.3,0.1,1.3,64.7,0.4,154.4,597.6,0.053,0.6
cassava,0.099,0.011,33,0.2,0.6,43.3,0.8,55.6,558.3,0.086
peas carrots cooked,0.5,36.8,0.1,1.5,25.6,0.3,78.4,252.8,0.035,0.7
romaine lettuce,0.083,15.5,0.07,0.5,6.6,0.002,14.1,116.1,0.045,0.1
yam raw,0.017,0.025,25.5,0.3,0.8,31.5,0.6,82.5,1224,0.1
chowchow pickles,1.3,56.4,0.2,3.4,51.5,0.2,53.9,490,0.091,0.6
prairie turnips raw,0.059,16.5,0.037,0.2,8,0.097,3.9,19.8,0.087,0.05
savoy cabbage raw,0.007,0.066,24.5,0.071,0.3,19.6,0.1,29.4,161,0.014
celery raw,0.019,0.086,16,0.056,0.063,4.4,0.01,9.6,104,0.031
celeriac cooked,0.084,40.3,0.044,0.7,18.6,0.1,102.3,268.2,0.093,0.3
mustard spinach raw,0.025,315,0.1,2.3,16.5,0.6,42,673.5,0.054,0.3
zucchini raw,0.023,0.033,41.6,0.1,1,46.8,0.5,98.8,678.6,0.05
okra cooked,0.4,123.2,0.1,0.4,57.6,0.5,51.2,216,0.065,0.7
white icicle radish,0.049,27,0.036,0.8,9,0.047,28,280,0.044,0.1
orange tomato,0.001,0,5.6,0.079,0.5,8.9,0.099,32.2,235.3,0.006
pumpkin leaves raw,0.057,15.2,0.063,0.9,14.8,0.1,40.6,170,0.085,0.045
spaghetti squash cooked,0.4,32.6,0.097,0.5,17.1,0.2,0,181.4,0.056,0.3
white corn cooked,0.082,0.017,2.1,0.052,0.6,31.9,0.2,94.8,259.6,0.056
artichoke cooked,0.087,0.035,25.2,0.2,0.7,50.4,0.3,87.6,343.2,0.074
avocado,0.045,0.078,32.4,0.5,1.5,78.3,0.4,140.4,1309.5,0.052
string beans wellsley farms,0,0,0,0,0,0,0,0,0,0
lambs quarters cooked,0.5,464.4,0.4,1.3,41.4,0.9,81,518.4,0.005,0.5
peas cooked,0.074,0.011,43.2,0.3,2.5,62.4,0.8,187.2,433.6,0.005
beets cooked,0.035,0.099,8,0.021,0.4,11.5,0.2,19,152.5,0.009
shallots dried,0.059,0.043,1.6,0.082,0.021,0.9,0.088,2.7,14.9,0.032
green lettuce,0.05,0.2,54,0.012,1.3,19.5,0.4,43.5,291,0.086
kohlrabi cooked,0.035,0.008,41.3,0.2,0.7,31.4,0.2,74.3,561,0.037
kanpyo dried,0.056,0,151.2,0.2,2.8,67.5,0.6,101.5,854.3,0.058
prairie turnips boiled,0.012,14.4,0.045,0.1,6.9,0.008,2.8,15.1,0,0.035
broccoli raab cooked,0.077,0.2,100.3,0.06,1.1,23,0.3,69.7,291.6,0.069
summer squash cooked,0.036,0.028,57.2,0.3,1,41.6,0.6,75.4,460.2,0.032
taro cooked,0.055,0.073,23.8,0.3,1,39.6,0.6,100.3,638.9,0.005
spring onion scallions,0.048,0.006,14.4,0.057,0.3,4,0.09,7.4,55.2,0.056
hubbard squash cooked,0.5,0.029,19,0.095,0.5,24.7,0.2,26.6,406.6,0.053
jalapeno pepper,0.028,0.011,1.7,0.045,0.033,2.1,0.059,3.6,34.7,0.069
new zealand spinach cooked,0.6,86.4,0.1,1.2,57.6,0.9,39.6,183.6,0.055,0.6
sesbania flower raw,0.007,0.6,0,0.091,0.4,0,0.9,5.5,0.037,0
spirulina dried,0.031,8.4,0.4,2,13.7,0.1,8.3,95.4,0.03,0.1
chinese cabbage pe tsai cooked,0.3,38.1,0.022,0.4,11.9,0.2,46.4,267.8,0.075,0.2
zucchini cooked,0.077,32.4,0.075,0.7,34.2,0.3,66.6,475.2,0.025,0.6
green olives pickled,0.1,0.072,1.4,0.071,0.045,0.3,0,0.1,1.1,0.017
lotus root raw,0.06,51.8,0.3,1.3,26.5,0.3,115,639.4,0.042,0.4
grape leaves,0.005,50.8,0.03,0.4,13.3,0.4,12.7,38.1,0.092,0.007
dill pickled cucumber,1.3,60.1,0.059,0.5,10,0.065,17.2,131.6,0.025,0.2
skunk cabbage,0.016,43.1,0.05,0.9,39.8,0.009,21.8,174.7,0.07,0.1
banana pepper,0.039,4.6,0.058,0.2,5.6,0.028,10.6,84.5,0.032,0.097
oriental radish raw,0.014,91.3,0.4,1.4,54.1,0.1,77.7,767.3,0.096,0.5
purslane cooked,0.3,89.7,0.1,0.9,77.1,0.4,42.6,561.2,0.018,0.2
rhubarb raw,0.058,0.058,43.9,0.018,0.1,6.1,0.026,7.1,146.9,0.003
swamp cabbage,0.4,52.9,0.097,1.3,29.4,0.1,41.2,278.3,0.087,0.2
mung bean sprouts raw,0.08,0.069,2.6,0.072,0.2,4.2,0.061,10.8,29.8,0.04
onion cooked,0.04,0.084,3.3,0.067,0.069,1.7,0.084,5.3,24.9,0.055
swiss chard raw,0.089,18.4,0.073,0.6,29.2,0.1,16.6,136.4,0.047,0.1
peas raw,0.017,36.3,0.3,2.1,47.9,0.6,156.6,353.8,0.067,1.8
cabbage cooked,0.011,0.2,72,0.067,0.3,22.5,0.3,49.5,294,0.023
