food,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats
grouper raw,2.6,0.6,0.5,0.8
ocean perch cooked,0.9,0.2,0.3,0.2
ling raw,1.2,0.2,0.2,0.4
lingcod cooked,4.1,0.8,1.3,1.2
florida pompano raw,10.6,3.9,2.9,1.3
rockfish cooked,2.4,0.6,0.7,0.7
seatrout cooked,8.6,2.4,2.1,1.7
sockeye salmon raw,22.2,4.7,7.4,7.7
swordfish cooked,8.4,2,3.8,1.5
american shad raw,25.3,5.8,10.5,6
sardine canned in oil,17.1,2.3,5.8,7.7
anchovy canned in oil,0.4,0.001,0.2,0.1
salmon canned,20.3,5.5,7.1,5.6
sardines in tomato sauce canned,9.3,2.4,4.3,1.9
sockeye salmon canned,24.9,4.9,8.4,6
tuna canned,2.4,0.6,0.6,0.9
pink salmon canned,20.4,3.5,5,5.8
cod canned,2.7,0.5,0.4,0.9
eastern oyster canned,4,1,0.4,1.2
chum salmon canned,20.3,5.5,7.1,5.6
tuna canned in oil,14.4,2.3,5.8,5.3
wild pink salmon oceans,16,0,48,0
shrimp canned,1.7,0.2,0.1,0.9
alaska king crab raw,1,0.2,0.1,0.2
scallops fried,3.2,0.8,2.1,0.1
shrimp cooked,0.092,0.023,0.003,0
clams fried,1,0.3,0.4,0.3
alaska king crab cooked,2.1,0.2,0.2,0.7
scallops cooked,0.058,0.092,0.096,0.086
squid fried,6,1.5,2.2,1.7
oyster raw,1.2,0.3,0.2,0.4
abalone,0.6,0.1,0.02,0.091
queen crab raw,0.3,0.096,0.027,0.1
whelk cooked,0.2,0.003,0.068,0.037
oyster cooked,1.2,0.3,0.2,0.4
eastern oyster cooked,0.2,0.073,0.004,0.018
blue mussels cooked,9,1.7,2,2.4
octopus raw,0.3,0.002,0.042,0.038
spiny lobster cooked,3.2,0.5,0.6,1.2
blue mussels raw,3.4,0.6,0.8,0.9
queen crab cooked,1.3,0.2,0.3,0.5
dungeness crab cooked,1.6,0.2,0.3,0.5
dungeness crab raw,1.6,0.2,0.3,0.5
shrimp fried,3.2,0.7,2,0.3
shrimp raw,0.023,0.061,0.075,0.009
blue crab cooked,0.6,0.2,0.1,0.2
shrimp imitation,0.4,0.019,0.014,0.2
conch baked,1.5,0.5,0.4,0.3
squid raw,0.4,0.1,0.094,0.1
