food,Carbohydrates,Sugars
oyster cooked,2.5,0
eastern oyster cooked,0.7,0
blue mussels cooked,14.8,0
octopus raw,0.6,0
spiny lobster cooked,5.1,0
blue mussels raw,5.5,0
queen crab cooked,0,0
dungeness crab cooked,1.2,0
dungeness crab raw,1.2,0
shrimp fried,4.8,0.086
shrimp raw,0.041,0
blue crab cooked,0,0
shrimp imitation,2.6,0
conch baked,2.2,0
squid raw,0.9,0
scallop raw,0.5,0
lobster raw,0,0
scallop imitation,3,0
blue crab raw,0.018,0
whelk raw,2.2,0
spiny lobster raw,5.1,0
clams canned,9.4,0
lobster cooked,0,0
eastern oyster fried,1.7,0
clams raw,8.1,0
octopus cooked,3.7,0
eastern oyster raw,0.8,0
oyster fried,6.7,0
sturgeon smoked,0,0
chinook salmon smoked,0,0
cisco smoked,0,0
haddock smoked,0,0
whitefish smoked,0,0
red salmon sockeye filets smoked,0,0
eggnog,20.4,20.4
beer light,5.4,0.3
beer budweiser,0.9,0
weizenbier erdinger,0,0
beer light budweiser,0.4,0
beer,11.7,0
root beer,52.3,52.3
whiskey sour mix,6.3,6.3
whiskey sour,13.9,0
tequila sunrise,23.8,0
daiquiri,4.2,3.3
pina colada,32,31.5
whiskey,0.1,0.078
rum,0,0
vodka smirnoff,2,0.082
coffee liqueur,13.8,13.7
gin,0,0
dessert wine sweet,14.1,8
chenin blanc white wine,4.9,0
gamay red wine,3.5,0
late harvest white wine,20.6,0
gewurztraminer white wine,3.8,0
burgundy red wine,7.4,0
zinfandel red wine,4.2,0
muller thurgau white wine,5.2,0
mouvedre red wine,3.9,0
table wine,4,1.2
wine light,1.7,1.7
white wine,3.8,1.4
petite sirah red wine,3.9,0
non alcoholic wine,0.3,0.3
pinot noir red wine,3.4,0
pinot gris grigio white wine,3,0
riesling white wine,5.5,0
barbera red wine,5.6,0
lemberger red wine,3.6,0
merlot red wine,3.7,0.9
sangiovese red wine,3.9,0
sauvignon blanc white wine,3,0
syrah red wine,3.8,0
carignane red wine,12,0
pinot blanc white wine,2.9,0
semillon white wine,4.6,0
dessert wine dry,58.4,5.5
red wine,3.8,0.9
cabernet sauvignon red wine,5.2,0
muscat white wine,7.8,0
cooking wine,0.3,0.09
chardonnay white wine,4.3,1.9
claret red wine,4.4,0
rice sake,7.4,0
fume blanc white wine,3.3,0
cabarnet franc red wine,3.6,0
chocolate frosting,13,11.8
white sugar,5,4.9
egg substitute,4.8,4.8
agave syrup,5.3,4.7
splenda sweetener,91.2,80.3
vanilla extract,0.5,0.5
egg yolk dried,0.054,0.002
granulated sugar,4.2,4.2
baking chocolate,8.7,0.3
bakers yeast,3.1,0
fondant,26.4,25.2
brown sugar,4.1,4.1
white frosting dry,196.4,0
maple sugar,10.9,10.2
fructose sweetener,4.2,3.9
saccharin sweetener,89.1,85.2
egg white raw,0.2,0.2
turbinado sugar,4.6,4.6
vanilla frosting,313.7,291.5
aspartame sweetener,89.1,80.7
egg raw,0.4,0.2
pineapple topping,225.8,71.4
egg white dried,0.3,0
egg yolk raw,0.6,0.08
baking soda,0,0
egg dried,0.047,0.05
strawberry topping,13.9,5.7
bakers yeast dry,1.6,0
almond paste,108.5,82.3
cream of tartar,1.8,0
popover dry mix,120.7,0
egg substitute powder,6.2,6.2
gelatin powder,0,0
tapioca pearls,134.8,5.1
baking powder,1.3,0
egg boiled,0.7,0.7
millet flour,86.9,2
triticale flour,95.1,0
corn flour white,87.3,1.8
rice flour brown,120.8,1.3
sorghum flour,93.7,2.3
cornmeal whole grain,93.8,0.8
cornmeal white,124.7,2.5
barley flour,110.3,1.2
safflower seed meal,13.8,0
sesame flour,33.3,0
whole grain wheat flour,86.4,0.5
corn flour yellow,89.9,0.7
corn flour whole grain,89.9,0.7
cottonseed flour low fat,10.2,0
sunflower seed flour,1.4,0
sesame meal,7.4,0
acorn flour,68.3,0
rice flour white,126.6,0.2
sesame flour low fat,10,0
potato flour,133,5.6
cornmeal yellow,124.7,2.5
rye flour,78.2,0.9
arrowroot flour,112.8,0
chickpea flour,53.2,10
wheat flour,95.4,0.3
cornstarch,116.8,0
carob flour,5.3,2.9
buckwheat flour,84.7,3.1
pecan pie,63.7,0
apple pie,46.4,0
vanilla wafer pie crust,88.4,12.9
chocolate pie crust,117.4,47.9
apple strudel,29.2,18.3
chocolate snack cake,30.2,18.9
fruit fried pie,54.5,27.4
pumpkin pie,40.9,0
corn cake,7.5,2.1
sponge snack cake,26.9,15.7
danish pastry with nuts,29.7,16.8
chocolate cream pie,33.3,0
angel food cake,16.2,0
lemon meringue pie,49.7,0
danish pastry with cinnamon,46.9,0
cinnamon coffeecake,26.6,0
cheesecake,20.4,17.4
fruitcake,26.5,11.8
egg custard,31,31
mince pie,79.2,46.7
yellow cake with chocolate frosting,79.7,56.5
danish pastry with fruit,45.1,0
white cake with coconut frosting,70.8,64.3
danish pastry with cheese,28.7,0
graham cracker pie crust,117.7,33.2
blueberry pie,49.2,0
yellow cake with vanilla frosting,37.6,0
pie crust,10.9,0.045
chocolate cake with chocolate frosting,72.9,55.1
cheese coffeecake,33.7,0
vanilla cream pie,41.1,16
pineapple cake,58.1,0
peach pie,38.5,19
fruit coffeecake,25.8,0
pound cake,14.6,0
pound cake bread,28.2,10
white cake,42.3,26.3
coffeecake with chocolate frosting,48.4,0
popcorn cake,8,0.001
banana cream pie,390.2,143
baked apple pie mcdonalds,12.3,4.9
sponge cake,36.4,0
yellow cake,36,0
shortcake,13.7,0
cherry pie,69.3,0
dutch apple pie,61,30.2
chocolate cake,50.7,0
marshmallow,16.3,11.5
sugar apple,18.2,0
toffee,7.8,7.6
vanilla fudge with nuts,21.1,20.1
peanuts chocolate coated,2,1.5
caramel with nuts chocolate coated,8.5,5.8
gingerbread,36.4,0
rolo nestle,0.2,0.078
vanilla fudge,23.2,22.6
halavah,42.3,0
praline,23.2,21.8
fruit juice bar,15.6,13.5
peanut brittle,20.2,14.5
butterscotch,4.8,4.3
chocolate coffee beans,15.6,14.4
nougat with almonds,12.9,11.7
carob,14.1,8.5
peanut butter fudge,12.4,11.7
sugar coated almonds,2.4,2.2
chocolate coated marshmallow,19,12.5
raisins chocolate coated,68.4,62.2
chewing gum sugarless,1.9,0
chewing gum,2.9,2
chocolate syrup,25.4,19.4
chocolate fudge syrup,12,6.6
m ms milk chocolate mars,29.9,26.7
milk chocolate with almonds,21.9,18
chocolate fudge,13,12.4
milk chocolate with rice cereal,0,0
m ms peanut chocolate mars,10.9,9.1
dark chocolate,18,13.8
chocolate semisweet,107.4,91.6
after eight mints nestle,6.7,5.6
milk chocolate,4.2,3.6
white chocolate,17.8,17.7
chocolate,24.8,21.1
twix mars,18.8,14
kit kat nestle,7.6,6.5
snickers mars,35.1,28.8
milky way mars,41.3,34.6
clif bar,44.5,21.5
gum drops,4.4,3.5
skittles wild berry mars,56.3,47.1
skittles original mars,56.3,47
skittles tropical mars,56.3,47
